"ID","MonthlyIncome"
871,5619.42802591114
872,2897.60204993214
873,13942.8729444662
874,2756.13264902013
875,2513.80432119366
876,4643.38387100055
877,5279.85971748162
878,2143.18671182673
879,2858.37288214627
880,13415.0380183386
881,10326.7684338573
882,2896.5376359155
883,4980.70777575788
884,5875.93532858323
885,5656.91352585071
886,5624.06872234756
887,6022.5432238676
888,5194.28301514712
889,5396.41261699455
890,2355.87767084823
891,4565.5688300606
892,9596.33657282299
893,8467.10911437404
894,5069.85565984115
895,11243.6947942298
896,10324.3326417286
897,8127.71296144085
898,16299.3064859537
899,5197.75211927759
900,2662.83535628237
901,2919.97004921691
902,4978.512044654
903,6367.9539727757
904,3123.4649639824
905,17227.5668821062
906,5340.66464023292
907,10138.8441163731
908,5465.3649455349
909,2560.55855793948
910,2345.75946063467
911,22598.8879608086
912,2583.61205897577
913,2708.69428899795
914,13247.1798566684
915,5659.79942746137
916,4732.60399110787
917,2448.08361882765
918,5227.94915847105
919,2279.98547298467
920,2720.76866563366
921,2576.11579364377
922,2733.25584436387
923,4529.52423583173
924,3889.51931479494
925,17910.7700240272
926,3448.91585855832
927,5398.88538434897
928,15167.18601998
929,2354.22785550626
930,2848.84496972874
931,5917.57908333139
932,13732.8366639356
933,8869.12479743063
934,2711.80029221256
935,2369.50807394729
936,2477.12933694429
937,9638.09420433033
938,10086.139297294
939,5455.95933768184
940,2340.3706366396
941,2973.50317772694
942,9634.58110736775
943,11010.1594247011
944,6224.62152984461
945,2200.08759485368
946,5904.56898558069
947,2295.09551720675
948,2356.04284170481
949,2641.11980682629
950,5281.80061884424
951,2494.41032037415
952,5730.65279277157
953,5512.59343096679
954,2871.23911345573
955,4420.49265142828
956,5669.54883459283
957,11694.5197034689
958,2773.46875497864
959,10078.9570491934
960,22124.2360825443
961,2922.11139251699
962,4624.93505951474
963,6271.5995423198
964,4875.186047878
965,2362.56931518777
966,19703.3383681244
967,2570.10922221712
968,7711.29687206506
969,16551.9582456738
970,2938.79003863357
971,5671.91822921632
972,5082.12594762233
973,2711.45553098697
974,2411.29260848918
975,5200.52202406642
976,2690.37769144276
977,6351.78318904494
978,2496.28301126247
979,9634.95090248125
980,18702.7699728258
981,2416.98550812473
982,9992.73772017874
983,2821.30310818268
984,2328.74995844982
985,5861.24200329652
986,2900.18997136637
987,2758.30000757995
988,5317.60089207465
989,8993.61354876268
990,2826.10657954018
991,4479.62709360497
992,2783.54706975135
993,5318.61837630133
994,5315.60006760732
995,4624.41798196141
996,5023.64361364852
997,2867.02811048001
998,17899.3771735997
999,10027.9609762369
1000,2477.47877880769
1001,4621.98259342435
1002,4444.83276588347
1003,4362.87806469822
1004,6229.48935988111
1005,2833.66172615536
1006,6071.93903942609
1007,2437.92364315028
1008,6305.10562587995
1009,22054.6743585497
1010,4439.68760272244
1011,8265.11784005322
1012,4922.51369433867
1013,5420.66297757247
1014,4899.07841850184
1015,5812.23584429357
1016,3078.30667084986
1017,2730.73787895779
1018,7628.13446889772
1019,9198.88158743114
1020,2214.01340234101
1021,5571.87926056654
1022,4619.16261425634
1023,4717.60351183128
1024,10320.7460677774
1025,16997.8287389191
1026,17269.0889575267
1027,5197.98143817005
1028,5400.23935222235
1029,5479.28095511886
1030,7910.15332338726
1031,5572.99784829067
1032,2715.48750417989
1033,12754.4169209272
1034,2510.51740476693
1035,4062.67764494904
1036,2374.66696806816
1037,5222.69709979817
1038,7733.16000836756
1039,11698.0764813639
1040,5929.39947090077
1041,2510.82485309199
1042,2992.57748469173
1043,8631.13567896497
1044,6803.09434364795
1045,2441.6280487717
1046,2275.38690943567
1047,4981.99036011863
1048,11627.8372124631
1049,2517.65658720515
1050,5506.24271302938
1051,9057.91408224791
1052,2476.70295880349
1053,5619.89167042391
1054,2869.15216951429
1055,2816.00279562342
1056,2882.05569811627
1057,6036.46659683436
1058,19072.7356359138
1059,4564.09749178936
1060,2869.64537438826
1061,4933.92069676784
1062,6234.73148399983
1063,6189.12888141119
1064,2328.43228763717
1065,5513.54729511582
1066,2487.47453027999
1067,2947.25808007162
1068,20028.8302346167
1069,4836.44048493677
1070,2579.16674211059
1071,2834.7308370047
1072,5476.70319169951
1073,2562.28653934651
1074,6455.05125890241
1075,4967.03984552745
1076,18120.2705795232
1077,19273.0453570809
1078,4482.3571373877
1079,4078.94848917046
1080,5100.67981666873
1081,2837.55360759781
1082,2607.86528977915
1083,2416.16133379165
1084,6093.02242908136
1085,8740.13973065821
1086,10927.2561084324
1087,5379.99025813039
1088,2476.31862954784
1089,2794.61513616432
1090,5289.89011258383
1091,5136.42424248263
1092,5983.67615645623
1093,11740.4007829834
1094,4678.98928142673
1095,4528.67871735721
1096,5866.688099912
1097,2878.78196894714
1098,2776.66913671068
1099,2522.81030787606
1100,5269.03996813638
1101,17919.1544850997
1102,4918.9409908303
1103,6418.66157820232
1104,11519.7910562197
1105,2854.74975112009
1106,2417.00681446924
1107,2893.48255827758
1108,4635.95270446351
1109,5168.20523009406
1110,5273.75540391081
1111,5406.6088737113
1112,12316.3160644372
1113,12435.0429113201
1114,5793.00390375111
1115,11162.2521862897
1116,2824.82291233986
1117,6447.29470856165
1118,4682.75798959979
1119,9124.96424065201
1120,2233.62446435273
1121,9522.15651806508
1122,17762.3157122897
1123,4817.37429208483
1124,17025.3178639277
1125,2550.33151451604
1126,2017.71066633039
1127,2679.90579872325
1128,4845.51409866707
1129,16606.8005546249
1130,2796.37735430565
1131,12764.1101827306
1132,16055.0863767839
1133,5151.99166831991
1134,2318.85005269439
1135,2582.72403229409
1136,2543.10244681052
1137,2851.64116779864
1138,5295.76600296184
1139,9506.61574976315
1140,16633.5356744188
1141,5597.40254488332
1142,5727.67504031584
1143,11498.1519071837
1144,5669.72170761948
1145,4991.74722150992
1146,5622.59175258878
1147,4676.02987430877
1148,3075.30734995632
1149,2554.69923458864
1150,6158.97039527477
1151,2378.84213494733
